"Duration,""Start Time"",""Profile Name"",""Country"",""Bookmark"",""Latest Bookmark"",""Supplemental Video Type"",""Attributes"",""Device Type"",""Title""";;;
"00:00:04,""2026-01-16 18:36:10"",""Ryan"",""BR (Brazil)"",""00:00:04"",""00:00:04"",""TRAILER"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Trailer: Era uma vez um sonho""";;
"00:00:07,""2026-01-16 18:34:56"",""Ryan"",""BR (Brazil)"",""00:00:07"",""00:00:07"",""TEASER_TRAILER"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Teaser: De Férias da Família""";;
"00:00:06,""2026-01-16 18:33:03"",""Ryan"",""BR (Brazil)"",""00:00:06"",""00:00:06"",""HOOK"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Clipe 7: Dinheiro Suspeito""";;
"00:00:04,""2026-01-16 18:32:55"",""Ryan"",""BR (Brazil)"",""00:00:04"",""00:00:04"",""TRAILER"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Fim do Mundo (Trailer)""";;
"00:00:54,""2026-01-16 00:12:38"",""Ryan"",""BR (Brazil)"",""00:00:54"",""00:00:54"",""HOOK"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""The SpongeBob Movie: Sponge Out of Water_hook_primary_16x9""";;;
"00:00:54,""2026-01-16 00:11:41"",""Ryan"",""BR (Brazil)"",""00:00:54"",""00:00:54"",""HOOK"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Peppa Pig: Season 1_hook_primary_16x9""";;;
"00:02:12,""2026-01-16 00:09:24"",""Ryan"",""BR (Brazil)"",""00:02:12"",""00:02:12"",""TRAILER"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Temporada 1 (Trailer): Sonic Prime""";;;
"00:00:58,""2026-01-16 00:08:22"",""Ryan"",""BR (Brazil)"",""00:00:58"",""00:00:58"",""HOOK"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""ALVINNN!!! And the Chipmunks: Season 1 - CLM 11""";;;
"00:01:04,""2026-01-16 00:07:13"",""Ryan"",""BR (Brazil)"",""00:01:04"",""00:01:04"",""HOOK"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Carinha de Anjo : Season 1_hook_primary_16x9_backfill""";;;
"00:02:35,""2026-01-16 00:04:33"",""Ryan"",""BR (Brazil)"",""00:02:35"",""00:02:35"",""TRAILER"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Trailer: Pequenos Grandes Heróis""";;;
"00:01:01,""2026-01-16 00:03:28"",""Ryan"",""BR (Brazil)"",""00:01:01"",""00:01:01"",""TRAILER"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""DreamWorks Dragões: Corrida até o Limite (Trailer)""";;;
"00:01:55,""2026-01-16 00:01:27"",""Ryan"",""BR (Brazil)"",""00:01:55"",""00:01:55"",""HOOK"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Sam & Cat: Season 1 - CLM 15""";;;
